iter	Passed	Remaining
807	2933	697
808	2938	693
809	2943	690
810	2947	686
811	2951	683
812	2956	679
813	2960	676
814	2964	672
815	2968	669
816	2972	665
817	2977	662
818	2980	658
819	2985	655
820	2989	651
821	2993	648
822	3039	653
823	3052	652
824	3057	648
825	3061	644
826	3069	642
827	3074	638
828	3079	635
829	3085	631
830	3089	628
831	3093	624
832	3097	621
833	3101	617
834	3106	613
835	3110	610
836	3115	606
837	3118	602
838	3122	599
839	3125	595
840	3128	591
841	3131	587
842	3135	583
843	3138	580
844	3141	576
845	3144	572
846	3147	568
847	3150	564
848	3152	560
849	3155	556
850	3158	552
851	3160	549
852	3163	545
853	3166	541
854	3168	537
855	3171	533
856	3174	529
857	3176	525
858	3179	521
859	3182	518
860	3185	514
861	3187	510
862	3190	506
863	3193	502
864	3196	498
865	3199	495
866	3202	491
867	3206	487
868	3209	483
869	3211	479
870	3214	476
871	3217	472
872	3220	468
873	3224	464
874	3227	461
875	3229	457
876	3232	453
877	3235	449
878	3238	445
879	3240	441
880	3243	438
881	3246	434
882	3249	430
883	3252	426
884	3255	423
885	3258	419
886	3261	415
887	3264	411
888	3267	407
889	3271	404
890	3274	400
891	3277	396
892	3282	393
893	3285	389
894	3289	385
895	3293	382
896	3296	378
897	3300	374
898	3305	371
899	3308	367
900	3313	364
901	3318	360
902	3322	356
903	3326	353
904	3330	349
905	3335	346
906	3338	342
907	3343	338
908	3346	335
909	3351	331
910	3354	327
911	3357	323
912	3360	320
913	3363	316
914	3367	312
915	3371	309
916	3375	305
917	3379	301
918	3383	298
919	3385	294
920	3388	290
921	3391	286
922	3395	283
923	3398	279
924	3402	275
925	3407	272
926	3410	268
927	3415	264
928	3418	261
929	3421	257
930	3424	253
931	3428	250
932	3433	246
933	3436	242
934	3439	239
935	3443	235
936	3446	231
937	3449	228
938	3454	224
939	3458	220
940	3461	217
941	3464	213
942	3468	209
943	3470	205
944	3474	202
945	3477	198
946	3479	194
947	3482	191
948	3485	187
949	3488	183
950	3490	179
951	3493	176
952	3496	172
953	3498	168
954	3501	164
955	3503	161
956	3506	157
957	3508	153
958	3511	150
959	3513	146
960	3516	142
961	3519	139
962	3521	135
963	3524	131
964	3527	127
965	3533	124
966	3539	120
967	3546	117
968	3552	113
969	3558	110
970	3566	106
971	3573	102
972	3579	99
973	3585	95
974	3591	92
975	3597	88
976	3603	84
977	3609	81
978	3615	77
979	3622	73
980	3628	70
981	3634	66
982	3640	62
983	3645	59
984	3650	55
985	3654	51
986	3658	48
987	3662	44
988	3665	40
989	3669	37
990	3672	33
991	3674	29
992	3677	25
993	3680	22
994	3683	18
995	3686	14
996	3689	11
997	3692	7
998	3695	3
999	3698	0
